number,value,datetime_start,datetime_complete,duration,params_flag_0,params_flag_1,params_flag_10,params_flag_11,params_flag_12,params_flag_13,params_flag_14,params_flag_15,params_flag_16,params_flag_17,params_flag_18,params_flag_19,params_flag_2,params_flag_20,params_flag_21,params_flag_22,params_flag_23,params_flag_24,params_flag_25,params_flag_26,params_flag_27,params_flag_28,params_flag_29,params_flag_3,params_flag_4,params_flag_5,params_flag_6,params_flag_7,params_flag_8,params_flag_9,state
34,0.16665993063681686,2025-06-21 05:36:44.234382,2025-06-21 05:36:44.774364,0 days 00:00:00.539982,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,COMPLETE
35,0.007411104372598929,2025-06-21 05:36:44.775809,2025-06-21 05:36:45.234076,0 days 00:00:00.458267,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
36,0.17234651385873076,2025-06-21 05:36:45.235483,2025-06-21 05:36:45.678417,0 days 00:00:00.442934,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,COMPLETE
37,-0.047756879559050724,2025-06-21 05:36:45.679793,2025-06-21 05:36:46.462161,0 days 00:00:00.782368,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,COMPLETE
38,-0.023297823470326256,2025-06-21 05:36:46.464324,2025-06-21 05:36:47.177058,0 days 00:00:00.712734,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,COMPLETE
39,0.17632934035359504,2025-06-21 05:36:47.179014,2025-06-21 05:36:47.905179,0 days 00:00:00.726165,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
40,0.030961742676237337,2025-06-21 05:36:47.906581,2025-06-21 05:36:48.820914,0 days 00:00:00.914333,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,COMPLETE
41,0.1582765690884099,2025-06-21 05:36:48.822190,2025-06-21 05:36:49.333993,0 days 00:00:00.511803,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,COMPLETE
42,-0.02016166959205366,2025-06-21 05:36:49.335408,2025-06-21 05:36:49.791604,0 days 00:00:00.456196,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,COMPLETE
43,0.17234651385873076,2025-06-21 05:36:49.793045,2025-06-21 05:36:50.385958,0 days 00:00:00.592913,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,COMPLETE
44,0.17632934035359504,2025-06-21 05:36:50.387709,2025-06-21 05:36:50.847062,0 days 00:00:00.459353,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
45,-0.01625266636353059,2025-06-21 05:36:50.848485,2025-06-21 05:36:51.320190,0 days 00:00:00.471705,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,COMPLETE
46,-0.0073252755278760745,2025-06-21 05:36:51.321568,2025-06-21 05:36:51.872024,0 days 00:00:00.550456,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,COMPLETE
47,0.01138225061042671,2025-06-21 05:36:51.873305,2025-06-21 05:36:52.338134,0 days 00:00:00.464829,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,COMPLETE
